Time (hours),Current Slot,Peers Connected
2.4190463889307448,27.739,27
2.422298611137602,27.782,27
2.4256705555650924,27.825,27
2.4289847222301697,27.865,27
2.432289722230699,27.914,27
2.435588055584166,27.961,27
2.438933333357175,28.003,26
2.4423536111248865,28.053,27
2.4455908333592946,28.102,26
2.4489683333370422,28.147,26
2.4523302777608236,28.191,26
2.4555808333555857,28.223,26
2.459278333319558,28.257,26
2.46248194442855,28.293,28
2.465692777766122,28.325,27
2.468952500025431,28.365,27
2.4723138889339236,28.409,27
2.4756211111280653,28.45,27
2.4789847222301695,28.492,27
2.4823161111275356,28.533,27
2.4856327778100966,28.576,27
2.4890830555889343,28.619,27
2.4923005555735696,28.651,28
2.49573583331373,28.662,26
2.4989175000455646,28.702,26
2.5023305555846957,28.737,27
2.505680555568801,28.776,29
2.5089483333296245,28.812,29
2.512260833316379,28.845,29
2.515581666694747,28.89,29
2.518924166692628,28.935,30
2.5222872222132153,28.982,31
2.525594722231229,29.031,31
2.5289280555645623,29.08,31
2.5322641666730243,29.125,32
2.5355763889021343,29.163,32
2.5389438888761733,29.202,32
2.542290277812216,29.238,32
2.5456302777926125,29.287,31
2.5489113889137904,29.329,31
2.5522500000397366,29.369,32
2.555734166701635,29.408,30
2.5589394444889493,29.449,30
2.562273055579927,29.484,30
2.565732500023312,29.53,30
2.5689227777719497,29.57,30
2.5722761111127004,29.623,30
2.5756811111503177,29.672,30
2.5790116667085226,29.713,31
2.582263333333863,29.756,32
2.5855808333555856,29.799,32
2.5890272222624886,29.846,33
2.5922652777698305,29.895,33
2.595579166677263,29.932,32
2.5990338889095517,29.984,32
2.6022488888767032,30.042,31
2.6056361111005146,30.098,32
2.608933333357175,30.158,31
2.6123594444327884,30.208,33
2.615655000011126,30.261,34
2.618911666671435,30.316,34
2.6222461111015742,30.365,34
2.6255866666634877,30.421,35
2.6289150000280803,30.474,35
2.6322536111540265,30.522,35
2.635612777802679,30.579,34
2.6389099999931123,30.628,34
2.6423444444603392,30.674,33
2.6455797222587796,30.72,33
2.6490241666634877,30.761,33
2.6523327777783074,30.808,34
2.6557522222068575,30.861,33
2.659051944481002,30.912,33
2.6622533333301543,30.967,33
2.665618055595292,31.02,33
2.668912500010596,31.071,33
2.6722469444407357,31.123,33
2.6755919444561003,31.18,33
2.679003333316909,31.227,32
2.68232944448789,31.28,32
2.685576666659779,31.324,32
2.6889566666550104,31.379,31
2.692246666683091,31.419,31
2.6956338889069027,31.47,29
2.6990049999952315,31.518,30
2.7023202778233424,31.569,30
2.705579166677263,31.623,30
2.708916388882531,31.68,30
2.7123197222418254,31.73,30
2.7156583333677715,31.784,30
2.7189522222677867,31.84,30
2.7222588888804116,31.892,30
2.7256255555815168,31.954,31
2.7289175000455645,32.008,30
2.7322486111190583,32.063,31
2.735586388905843,32.12,30
2.738910555574629,32.177,31
2.7423947222365275,32.236,32
2.745608333349228,32.286,33
2.748947499990463,32.345,33
2.7522697222232817,32.395,33
2.7555941666497126,32.436,32
2.7590633333391614,32.478,33
2.762246666683091,32.517,33
2.7655822222100364,32.566,33
2.7690341666671965,32.618,33
2.772273055579927,32.676,33
2.775578055580457,32.729,33
2.7789355555507873,32.798,34
2.7822438889079626,32.849,34
2.7856002777814863,32.898,33
2.788928333322207,32.956,33
2.792262777818574,33.008,32
2.7956427778138053,33.052,33
2.7989608333508174,33.106,33
2.802276666694217,33.159,34
2.8056875000397365,33.216,34
2.8089450000392064,33.268,33
2.812279166711701,33.33,32
2.8155927777952616,33.396,33
2.8189175000455644,33.458,33
2.8223597222566603,33.504,33
2.825586666663488,33.561,33
2.828954166703754,33.605,33
2.832316666709052,33.653,33
2.8356330555677416,33.71,33
2.8390016667048137,33.774,33
2.8422594444619285,33.825,34
2.8456619444820617,33.885,35
2.8489649999803968,33.944,33
2.8523174999819862,34.0,33
2.8556027777989708,34.049,32
2.858951111104753,34.097,32
2.862365277806918,34.145,32
2.8655783333381017,34.193,32
2.869014444483651,34.245,33
2.87227111114396,34.29,32
2.875599444442325,34.343,31
2.8789736111296547,34.394,31
2.882300833331214,34.445,31
2.8856324999862246,34.496,31
2.8889452777968514,34.553,30
2.892264444430669,34.61,31
2.8956388888756432,34.661,31
2.8989811111158796,34.717,32
2.902269722223282,34.778,32
2.905580277774069,34.838,32
2.9089219444327883,34.895,33
2.912266388932864,34.957,33
2.915626388920678,35.008,34
2.9189677778217527,35.055,34
2.922305833366182,35.114,32
2.9255944444735844,35.164,33
2.928957499994172,35.22,33
2.932260000043445,35.273,34
2.935611944463518,35.334,34
2.9389227777719498,35.389,34
2.942273333337572,35.441,34
2.9456402777963215,35.482,34
2.9489400000042387,35.524,35
2.9522616666555406,35.569,35
2.955644166668256,35.625,34
2.9590344444248413,35.671,34
2.962261388897896,35.725,34
2.9655822222100365,35.779,33
2.968928611146079,35.844,32
2.972347222235468,35.892,32
2.975581944452392,35.935,33
2.9789830555518466,35.988,32
2.9823141666915682,36.044,32
2.985669166710642,36.096,32
2.988923055595822,36.141,32
2.992297222216924,36.19,32
2.9955966666671965,36.24,32
2.9989705555968813,36.289,32
3.0023186111450197,36.34,32
3.005631111131774,36.395,32
3.0089547222190434,36.452,31
3.0123572222391766,36.501,31
3.015592777795262,36.541,31
3.018954722219043,36.597,31
3.022272222240766,36.654,30
3.0256369444396762,36.715,30
3.0289761111471387,36.773,30
3.032244166665607,36.828,31
3.0355975000063578,36.886,31
3.039005833334393,36.95,31
3.0423733333746594,37.002,31
3.0455930555529065,37.051,31
3.048964722222752,37.107,32
3.052321388920148,37.161,33
3.0555894444386165,37.218,33
3.0589649999803967,37.274,32
3.062327499985695,37.321,32
3.065643611152967,37.371,32
3.0689108333322737,37.414,32
3.0722666666905085,37.461,34
3.0756152778201633,37.507,33
3.0790563889344535,37.553,33
3.0823655555645626,37.591,33
3.08565388891432,37.621,33
3.0889594444301394,37.666,33
3.092269722223282,37.712,33
3.0956544444296097,37.76,32
3.0989141666889193,37.803,32
3.102252499990993,37.851,32
3.1056186111105815,37.893,31
3.109009444448683,37.942,30
3.1123555555608537,37.984,30
3.1156538889143204,38.038,31
3.119081666668256,38.081,31
3.122322777774599,38.142,32
3.1256566666894487,38.185,32
3.1290622222423554,38.23,32
3.1323730555507874,38.279,32
3.135584999985165,38.332,32
3.1389202778206933,38.381,32
3.1422744444343778,38.432,32
3.145697500043445,38.48,32
3.1489852778116862,38.528,31
3.1522911111513774,38.585,31
3.15563222222858,38.643,31
3.1589161111248862,38.694,31
3.1623013889127307,38.748,31
3.165625277757645,38.794,31
3.169001944462458,38.859,31
3.1723463888963064,38.912,31
3.1757136111127005,38.964,32
3.178950277765592,39.008,30
3.1822500000397365,39.059,30
3.185658888883061,39.115,30
3.188978055583106,39.168,29
3.1922752777735393,39.226,29
3.1956188889344532,39.283,29
3.1989727777904933,39.344,29
3.2023130555947623,39.395,29
3.2056605555613835,39.438,29
3.208936666647593,39.483,29
3.2122786111301846,39.526,29
3.215590000020133,39.562,28
3.2189269444677566,39.612,28
3.2222941666841507,39.655,28
3.2256463889280953,39.705,28
3.2289438888761732,39.739,28
3.2323005555735693,39.794,29
3.2355811111132304,39.845,29
3.238976666662428,39.89,29
3.2422469444407356,39.936,30
3.245630555550257,39.983,32
3.2490872222185136,40.032,32
3.252285277777248,40.084,32
3.255584444469876,40.138,33
3.259002500043975,40.189,34
3.262280555566152,40.235,34
3.2656658333539963,40.291,34
3.268975555565622,40.355,32
3.272287777794732,40.404,32
3.275598333345519,40.456,32
3.278931944436497,40.501,31
3.282346111138662,40.562,30
3.2855988889270358,40.613,31
3.2889102778169845,40.668,31
3.292273055579927,40.721,30
3.295756388902664,40.764,30
3.2989669444825913,40.8,30
3.3022436111503177,40.84,30
3.305681666665607,40.894,30
3.308999722202619,40.938,30
3.3122558333476384,40.976,29
3.315594999988874,41.021,29
3.318915277785725,41.069,29
3.3223066667053436,41.124,29
3.3256736110978657,41.176,29
3.3289102778169846,41.206,28
3.3323005555735694,41.255,28
3.335653055575159,41.3,29
3.3389219444327884,41.338,29
3.3423363888925977,41.369,29
3.345613055560324,41.412,29
3.3489555555582045,41.449,29
3.3523930555582044,41.496,27
3.3556013888782923,41.542,27
3.3589197222391762,41.601,26
3.3622652777698305,41.644,27
3.3656691667106418,41.693,27
3.3689830555518467,41.727,27
3.372253888911671,41.783,28
3.375641944474644,41.835,28
3.378990000022782,41.889,28
3.38225444442696,41.941,28
3.385634722246064,41.989,28
3.388981666697396,42.036,29
3.392290277812216,42.072,29
3.39561416665713,42.11,30
3.3989494444264308,42.149,30
3.4023605555958216,42.205,30
3.405592500037617,42.256,29
3.408946944475174,42.301,29
3.412321666677793,42.348,29
3.4156669444508023,42.394,29
3.4189113889137905,42.437,28
3.4222447222471235,42.491,28
3.4255777778228125,42.53,28
3.4289755555656223,42.571,29
3.4322916666666665,42.608,29
3.4357505555947623,42.656,29
3.4390111111270056,42.687,30
3.4423447222179835,42.723,30
3.4456355555852256,42.769,30
3.448986388908492,42.812,30
3.4522858333587645,42.864,30
3.4556163889169693,42.906,29
3.4589425000217227,42.962,28
3.4623488889137906,43.007,28
3.4656975000434453,43.051,28
3.468916666706403,43.095,29
3.4722541666693156,43.143,30
3.4756980555587345,43.177,29
3.4789191666576595,43.205,29
3.482295000023312,43.243,30
3.4856322222285803,43.276,29
3.489019166694747,43.312,29
3.49229833331373,43.348,29
3.4956911111540263,43.389,29
3.4989416666825615,43.424,29
3.5023647222254013,43.462,28
3.505630000034968,43.502,28
3.5089208333359823,43.542,27
3.5122833333412804,43.582,27
3.515579166677263,43.631,27
3.51893000000053,43.68,27
3.5223083333174388,43.719,26
3.525602500041326,43.761,26
3.5289227777719496,43.806,26
3.5322980555560854,43.84,28
3.535663888918029,43.877,27
3.5390066666735542,43.915,27
3.5422697222232817,43.963,27
3.545597500006358,44.008,28
3.5489222222566603,44.055,28
3.552269444465637,44.101,28
3.555740833348698,44.144,28
3.5589413889249166,44.183,27
3.5623150000307295,44.223,27
3.565620277788904,44.263,27
3.5689208333359823,44.304,26
3.5722486111190586,44.344,26
3.575636111100515,44.381,26
3.5789555555582044,44.428,25
3.58228555560112,44.466,25
3.585591111116939,44.504,24
3.588923611111111,44.553,24
3.592274444434378,44.595,24
3.595578055580457,44.633,24
3.598929722242885,44.68,24
3.602263333333863,44.72,23
3.605667500032319,44.749,23
3.6090494444635177,44.782,24
3.6124455555942325,44.817,23
3.6156052778164547,44.855,23
3.6189930555555554,44.897,23
3.622348055574629,44.934,23
3.6256547222534814,44.967,23
3.628921388917499,45.01,22
3.6322724999984106,45.056,21
3.635606111155616,45.103,21
3.6390413888957767,45.149,21
3.6423941666550106,45.192,21
3.6456552777687707,45.24,21
3.6489852778116862,45.287,22
3.6522797222269907,45.333,22
3.655588055584166,45.376,22
3.6590049999952314,45.421,22
3.6622819444868298,45.457,21
3.6656308333741294,45.504,21
3.66894805557198,45.554,21
3.672412222226461,45.6,21
3.6756344444884195,45.636,22
3.678954166703754,45.668,22
3.6822797222269905,45.708,22
3.685758888920148,45.754,22
3.689074444439676,45.795,22
3.6923230555984707,45.844,22
3.6957525000307294,45.888,22
3.6989752778079774,45.924,22
3.7022447222471238,45.965,23
3.70562138888571,46.014,22
3.7090019444624582,46.054,23
3.7122775000333785,46.091,22
3.7156527778175144,46.132,22
3.718910555574629,46.183,22
