,TIME,MEM,CPU,NETOUT,NETIN,DISK,Current Slot,Peers Connected
8648,4.814722222222222,1.19705078125,53.5,0.08431488100000024,0.9538657090000051,1.002743324,12.734000000000002,26.0
8649,4.815277777777778,1.20546484375,59.3,0.08433174800000051,0.9543420890000052,1.0032849750000001,12.734000000000002,26.0
8650,4.815833333333333,1.21300390625,53.5,0.08434345200000098,0.955601198000004,1.023405724,12.797,26.0
8651,4.8163888888888895,1.214265625,52.2,0.0843496840000007,0.9556112390000053,1.023907248,12.797,26.0
8652,4.816944444444444,1.2006015625,47.7,0.08445590799999991,0.9557849550000028,1.007777592,12.797,26.0
8653,4.8175,1.2034296875,53.5,0.084471904,0.9562251280000055,1.007803209,12.797,26.0
8654,4.8180555555555555,1.2014375,78.0,0.08448244499999964,0.9562402170000059,1.007803209,12.797,26.0
8655,4.818611111111111,1.2014375,55.3,0.08450347300000066,0.9579929590000029,1.008372121,12.797,26.0
8656,4.819166666666666,1.20569921875,54.8,0.08451546600000075,0.9580176320000028,1.011229193,12.797,26.0
8657,4.8197222222222225,1.20647265625,56.0,0.0845245190000005,0.9580481639999998,1.011717495,12.797,26.0
8658,4.820277777777777,1.2081953125,44.1,0.08464727599999969,0.9582091050000018,1.014467588,12.797,26.0
8659,4.820833333333334,1.21083203125,52.5,0.08465107800000078,0.9586181290000022,1.014467588,12.797,26.0
8660,4.821388888888889,1.20290234375,89.6,0.08467008200000055,0.9586321720000051,1.014467588,12.860999999999999,26.0
8661,4.821944444444444,1.20359375,55.3,0.08469021699999939,0.9586570750000029,1.01496269,12.860999999999999,26.0
8662,4.822500000000001,1.20540625,52.0,0.08469316500000058,0.9589022980000009,1.015412032,12.860999999999999,26.0
8663,4.823055555555555,1.22395703125,53.3,0.08472123599999941,0.9604615190000041,1.037060248,12.925,26.0
8664,4.823611111111111,1.2283984375,52.5,0.08481582300000082,0.9609683280000026,1.037221148,12.925,26.0
8665,4.824166666666667,1.23179296875,53.5,0.08481911000000036,0.960993742000006,1.037226339,12.925,26.0
8666,4.824722222222222,1.223125,93.0,0.08482715699999971,0.9611135900000009,1.038080831,12.925,26.0
8667,4.825277777777777,1.20466015625,52.7,0.08483617799999957,0.9615694390000062,1.0203214950000001,12.925,26.0
8668,4.825833333333334,1.20670703125,56.0,0.08486990399999922,0.9627862180000011,1.02044512,12.925,26.0
8669,4.826388888888888,1.2100625,53.0,0.08487137099999927,0.9627967320000025,1.020840654,12.925,26.0
8670,4.826944444444445,1.21572265625,55.5,0.0848762139999999,0.9628180250000005,1.021426849,12.989,26.0
8671,4.8275,1.2164765625,40.3,0.08498575999999958,0.9633160930000013,1.023993938,12.989,26.0
8672,4.828055555555555,1.21698828125,53.5,0.0849985770000003,0.9633346040000033,1.024009089,12.989,26.0
8673,4.828611111111111,1.180375,87.6,0.08500318499999958,0.9636105220000026,1.024048012,12.989,26.0
8674,4.829166666666667,1.19998828125,56.8,0.08504197500000009,0.965079439000001,1.024532675,12.989,26.0
